Player,Age,90s,Goals,Shots,Shots On Target,SoT%,Shot/90,SoT/90,Goals/Sh,Goals/SoT,Dist,PK,PKatt
Darwin Nunez,22,22,26,85,44,51.8,3.87,2,0.26,0.5,,4,4
Erling Haaland,21,21.2,22,74,31,41.9,3.49,1.46,0.22,0.52,13.5,6,6
